[2025-09-24 17:46:08,613][__main__][INFO] - =====Running train script=====
[2025-09-24 17:46:08,648][__main__][INFO] - Fetched main configs, save directory : ../outputs/norm/traffic/lags504_horizon504/seed_1/instance_NMSE/
[2025-09-24 17:46:08,649][__main__][INFO] - Model PatchTST, norma instance, criterion NMSE, kwargs {'last': False, 'latent': False}
[2025-09-24 17:46:12,123][__main__][INFO] - Fetched dataloaders
[2025-09-24 17:46:12,123][__main__][INFO] - Splits shapes:
train	(689, 1, 10526)
valid1	(689, 1, 3509)
valid2	(173, 1, 10526)
valid3	(173, 1, 3509)
test1	(689, 1, 3509)
test2	(173, 1, 3509)
[2025-09-24 17:46:12,123][__main__][INFO] - Batches:
 X=[64, 1, 504]
 y=[64, 1, 504]
[2025-09-25 07:03:45,777][__main__][INFO] - Step 600 | valid1 MSE : 0.0008 | valid1 NMSE : 0.3757
[2025-09-25 07:09:32,122][__main__][INFO] - Step 700 | valid1 MSE : 0.0008 | valid1 NMSE : 0.3684
[2025-09-25 07:15:18,317][__main__][INFO] - Step 800 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3629
[2025-09-25 07:21:04,140][__main__][INFO] - Step 900 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3585
[2025-09-25 07:26:50,574][__main__][INFO] - Step 1000 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3554
[2025-09-25 07:32:36,919][__main__][INFO] - Step 1100 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3521
[2025-09-25 07:38:22,574][__main__][INFO] - Step 1200 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3495
[2025-09-25 07:44:05,184][__main__][INFO] - Step 1300 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3474
[2025-09-25 07:49:47,226][__main__][INFO] - Step 1400 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3457
[2025-09-25 07:55:28,505][__main__][INFO] - Step 1500 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3443
[2025-09-25 08:01:10,063][__main__][INFO] - Step 1600 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3432
